Obesity,,,,ab_c
PC(O-18:1(11Z)/16:0),HMDB0013424,CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,8.4 +/- 1.9uM,10.9
PC(O-18:1(11Z)/16:0),HMDB0013424,CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,8.6 +/- 2.5uM,8.4
PC(O-18:1(11Z)/16:0),HMDB0013424,CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,8.2 +/- 2.2uM,8.6
PC(O-18:1(11Z)/16:0),HMDB0013424,CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,8.4 +/- 2.4uM,8.2
"PC(O-18:1(11Z)/18:2(9Z,12Z))",HMDB0013425,CCCCCC\C=C/CCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,8.1 +/- 2.3uM,8.4
"PC(O-18:1(11Z)/18:2(9Z,12Z))",HMDB0013425,CCCCCC\C=C/CCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,8.4 +/- 2.7uM,8.1
"PC(O-18:1(11Z)/18:2(9Z,12Z))",HMDB0013425,CCCCCC\C=C/CCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,8.0 +/- 2.8uM,8.4
"PC(O-18:1(11Z)/18:2(9Z,12Z))",HMDB0013425,CCCCCC\C=C/CCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,8.5 +/- 2.7uM,8
PC(O-18:1(9Z)/16:0),HMDB0013426,CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,8.4 +/- 1.9uM,8.5
PC(O-18:1(9Z)/16:0),HMDB0013426,CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,8.6 +/- 2.5uM,8.4
PC(O-18:1(9Z)/16:0),HMDB0013426,CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,8.2 +/- 2.2uM,8.6
PC(O-18:1(9Z)/16:0),HMDB0013426,CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,8.4 +/- 2.4uM,8.2
