Obesity,,,,ab_c
"PC(20:3(8Z,11Z,14Z)/22:1(13Z))",HMDB0008414,CCCCCCCC\C=C/CCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.185 +/- 0.060uM,0.172
"PC(20:3(8Z,11Z,14Z)/22:2(13Z,16Z))",HMDB0008415,CCCCC\C=C/C\C=C/CCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.324 +/- 0.111uM,0.185
"PC(20:3(8Z,11Z,14Z)/22:2(13Z,16Z))",HMDB0008415,CCCCC\C=C/C\C=C/CCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.383 +/- 0.146uM,0.324
"PC(20:3(8Z,11Z,14Z)/P-16:0)",HMDB0008422,CCCCCCCCCCCCCC\C=C/OC(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,108.5 +/- 32.8uM,0.383
"PC(20:3(8Z,11Z,14Z)/P-16:0)",HMDB0008422,CCCCCCCCCCCCCC\C=C/OC(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,132.1 +/- 39.6uM,108.5
"PC(20:3(8Z,11Z,14Z)/P-18:0)",HMDB0008423,CCCCCCCCCCCCCCCC\C=C/OC(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,43.5 +/- 14.2uM,132.1
"PC(20:3(8Z,11Z,14Z)/P-18:0)",HMDB0008423,CCCCCCCCCCCCCCCC\C=C/OC(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,56.1 +/- 19.7uM,43.5
"PC(20:3(8Z,11Z,14Z)/P-18:1(11Z))",HMDB0008424,CCCCCC\C=C/CCCCCCCC\C=C/OC(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,88.0 +/- 28.5uM,56.1
"PC(20:3(8Z,11Z,14Z)/P-18:1(11Z))",HMDB0008424,CCCCCC\C=C/CCCCCCCC\C=C/OC(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,103.8 +/- 31.3uM,88
"PC(20:3(8Z,11Z,14Z)/P-18:1(9Z))",HMDB0008425,CCCCCCCC\C=C/CCCCCC\C=C/OC(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,88.0 +/- 28.5uM,103.8
"PC(20:3(8Z,11Z,14Z)/P-18:1(9Z))",HMDB0008425,CCCCCCCC\C=C/CCCCCC\C=C/OC(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,103.8 +/- 31.3uM,88
"PC(20:4(5Z,8Z,11Z,14Z)/14:0)",HMDB0008426,CCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,1.40 +/- 0.61uM,103.8
"PC(20:4(5Z,8Z,11Z,14Z)/14:0)",HMDB0008426,CCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,1.74 +/- 0.59uM,1.4
"PC(20:4(5Z,8Z,11Z,14Z)/16:0)",HMDB0008429,CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,138.6 +/- 39.6uM,1.74
"PC(20:4(5Z,8Z,11Z,14Z)/16:0)",HMDB0008429,CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,159.1 +/- 43.5uM,138.6
"PC(20:4(5Z,8Z,11Z,14Z)/16:1(9Z))",HMDB0008430,CCCCCC\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,13.5 +/- 6.1uM,159.1
"PC(20:4(5Z,8Z,11Z,14Z)/16:1(9Z))",HMDB0008430,CCCCCC\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,17.9 +/- 7.9uM,13.5
"PC(20:4(5Z,8Z,11Z,14Z)/18:0)",HMDB0008431,CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,88.0 +/- 28.5uM,17.9
"PC(20:4(5Z,8Z,11Z,14Z)/18:0)",HMDB0008431,CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,103.8 +/- 31.3uM,88
"PC(20:4(5Z,8Z,11Z,14Z)/18:1(11Z))",HMDB0008432,CCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,39.8 +/- 13.1uM,103.8
"PC(20:4(5Z,8Z,11Z,14Z)/18:1(11Z))",HMDB0008432,CCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,48.5 +/- 15.2uM,39.8
"PC(20:4(5Z,8Z,11Z,14Z)/18:1(9Z))",HMDB0008433,CCCCCCCC\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,39.8 +/- 13.1uM,48.5
"PC(20:4(5Z,8Z,11Z,14Z)/18:1(9Z))",HMDB0008433,CCCCCCCC\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,48.5 +/- 15.2uM,39.8
"PC(20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z))",HMDB0008434,CCCCC\C=C/C\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,51.9 +/- 20.0uM,48.5
"PC(20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z))",HMDB0008434,CCCCC\C=C/C\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,60.5 +/- 21.7uM,51.9
"PC(20:4(5Z,8Z,11Z,14Z)/20:0)",HMDB0008438,CCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,3.62 +/- 1.28uM,60.5
"PC(20:4(5Z,8Z,11Z,14Z)/20:0)",HMDB0008438,CCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,4.50 +/- 1.51uM,3.62
"PC(20:4(5Z,8Z,11Z,14Z)/20:1(11Z))",HMDB0008439,CCCCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,8.83 +/- 3.47uM,4.5
"PC(20:4(5Z,8Z,11Z,14Z)/20:1(11Z))",HMDB0008439,CCCCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,11.27 +/- 4.24uM,8.83
"PC(20:4(5Z,8Z,11Z,14Z)/20:2(11Z,14Z))",HMDB0008440,CCCCC\C=C/C\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,19.0 +/- 7.8uM,11.27
"PC(20:4(5Z,8Z,11Z,14Z)/20:2(11Z,14Z))",HMDB0008440,CCCCC\C=C/C\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,24.5 +/- 10.0uM,19
"PC(20:4(5Z,8Z,11Z,14Z)/22:0)",HMDB0008446,CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.172 +/- 0.059uM,24.5
"PC(20:4(5Z,8Z,11Z,14Z)/22:0)",HMDB0008446,CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.185 +/- 0.060uM,0.172
"PC(20:4(5Z,8Z,11Z,14Z)/22:1(13Z))",HMDB0008447,CCCCCCCC\C=C/CCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.324 +/- 0.111uM,0.185
"PC(20:4(5Z,8Z,11Z,14Z)/22:1(13Z))",HMDB0008447,CCCCCCCC\C=C/CCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.383 +/- 0.146uM,0.324
"PC(20:4(5Z,8Z,11Z,14Z)/P-16:0)",HMDB0008455,CCCCCCCCCCCCCC\C=C/OC(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,138.6 +/- 39.6uM,0.383
"PC(20:4(5Z,8Z,11Z,14Z)/P-16:0)",HMDB0008455,CCCCCCCCCCCCCC\C=C/OC(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,159.1 +/- 43.5uM,138.6
"PC(20:4(5Z,8Z,11Z,14Z)/P-18:0)",HMDB0008456,CCCCCCCCCCCCCCCC\C=C/OC(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,88.0 +/- 28.5uM,159.1
"PC(20:4(5Z,8Z,11Z,14Z)/P-18:0)",HMDB0008456,CCCCCCCCCCCCCCCC\C=C/OC(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,103.8 +/- 31.3uM,88
"PC(20:4(5Z,8Z,11Z,14Z)/P-18:1(11Z))",HMDB0008457,CCCCCC\C=C/CCCCCCCC\C=C/OC(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,39.8 +/- 13.1uM,103.8
"PC(20:4(5Z,8Z,11Z,14Z)/P-18:1(11Z))",HMDB0008457,CCCCCC\C=C/CCCCCCCC\C=C/OC(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,48.5 +/- 15.2uM,39.8
"PC(20:4(5Z,8Z,11Z,14Z)/P-18:1(9Z))",HMDB0008458,CCCCCCCC\C=C/CCCCCC\C=C/OC(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,39.8 +/- 13.1uM,48.5
"PC(20:4(5Z,8Z,11Z,14Z)/P-18:1(9Z))",HMDB0008458,CCCCCCCC\C=C/CCCCCC\C=C/OC(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,48.5 +/- 15.2uM,39.8
"PC(20:4(8Z,11Z,14Z,17Z)/14:0)",HMDB0008459,CCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,1.40 +/- 0.61uM,48.5
"PC(20:4(8Z,11Z,14Z,17Z)/14:0)",HMDB0008459,CCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,1.74 +/- 0.59uM,1.4
"PC(20:4(8Z,11Z,14Z,17Z)/16:0)",HMDB0008462,[H][C@@](COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,138.6 +/- 39.6uM,1.74
"PC(20:4(8Z,11Z,14Z,17Z)/16:0)",HMDB0008462,[H][C@@](COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,159.1 +/- 43.5uM,138.6
"PC(20:4(8Z,11Z,14Z,17Z)/16:1(9Z))",HMDB0008463,CCCCCC\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,13.5 +/- 6.1uM,159.1
"PC(20:4(8Z,11Z,14Z,17Z)/16:1(9Z))",HMDB0008463,CCCCCC\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,17.9 +/- 7.9uM,13.5
"PC(20:4(8Z,11Z,14Z,17Z)/18:0)",HMDB0008464,CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,88.0 +/- 28.5uM,17.9
"PC(20:4(8Z,11Z,14Z,17Z)/18:0)",HMDB0008464,CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,103.8 +/- 31.3uM,88
"PC(20:4(8Z,11Z,14Z,17Z)/18:1(11Z))",HMDB0008465,CCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,39.8 +/- 13.1uM,103.8
"PC(20:4(8Z,11Z,14Z,17Z)/18:1(11Z))",HMDB0008465,CCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,48.5 +/- 15.2uM,39.8
"PC(20:4(8Z,11Z,14Z,17Z)/18:1(9Z))",HMDB0008466,CCCCCCCC\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,39.8 +/- 13.1uM,48.5
"PC(20:4(8Z,11Z,14Z,17Z)/18:1(9Z))",HMDB0008466,CCCCCCCC\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,48.5 +/- 15.2uM,39.8
"PC(20:4(8Z,11Z,14Z,17Z)/18:2(9Z,12Z))",HMDB0008467,CCCCC\C=C/C\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,51.9 +/- 20.0uM,48.5
"PC(20:4(8Z,11Z,14Z,17Z)/18:2(9Z,12Z))",HMDB0008467,CCCCC\C=C/C\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,60.5 +/- 21.7uM,51.9
"PC(20:4(8Z,11Z,14Z,17Z)/20:0)",HMDB0008471,CCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,3.62 +/- 1.28uM,60.5
"PC(20:4(8Z,11Z,14Z,17Z)/20:0)",HMDB0008471,CCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,4.50 +/- 1.51uM,3.62
"PC(20:4(8Z,11Z,14Z,17Z)/20:1(11Z))",HMDB0008472,CCCCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,8.83 +/- 3.47uM,4.5
"PC(20:4(8Z,11Z,14Z,17Z)/20:1(11Z))",HMDB0008472,CCCCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,11.27 +/- 4.24uM,8.83
"PC(20:4(8Z,11Z,14Z,17Z)/20:2(11Z,14Z))",HMDB0008473,CCCCC\C=C/C\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,19.0 +/- 7.8uM,11.27
"PC(20:4(8Z,11Z,14Z,17Z)/20:2(11Z,14Z))",HMDB0008473,CCCCC\C=C/C\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,24.5 +/- 10.0uM,19
"PC(20:4(8Z,11Z,14Z,17Z)/22:0)",HMDB0008479,CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,0.172 +/- 0.059uM,24.5
"PC(20:4(8Z,11Z,14Z,17Z)/22:0)",HMDB0008479,CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,0.185 +/- 0.060uM,0.172
"PC(20:4(8Z,11Z,14Z,17Z)/22:1(13Z))",HMDB0008480,CCCCCCCC\C=C/CCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,0.324 +/- 0.111uM,0.185
"PC(20:4(8Z,11Z,14Z,17Z)/22:1(13Z))",HMDB0008480,CCCCCCCC\C=C/CCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,0.383 +/- 0.146uM,0.324
"PC(20:4(8Z,11Z,14Z,17Z)/P-16:0)",HMDB0008488,CCCCCCCCCCCCCC\C=C/OC(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,138.6 +/- 39.6uM,0.383
"PC(20:4(8Z,11Z,14Z,17Z)/P-16:0)",HMDB0008488,CCCCCCCCCCCCCC\C=C/OC(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,159.1 +/- 43.5uM,138.6
"PC(20:4(8Z,11Z,14Z,17Z)/P-18:0)",HMDB0008489,CCCCCCCCCCCCCCCC\C=C/OC(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,88.0 +/- 28.5uM,159.1
"PC(20:4(8Z,11Z,14Z,17Z)/P-18:0)",HMDB0008489,CCCCCCCCCCCCCCCC\C=C/OC(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,103.8 +/- 31.3uM,88
"PC(20:4(8Z,11Z,14Z,17Z)/P-18:1(11Z))",HMDB0008490,CCCCCC\C=C/CCCCCCCC\C=C/OC(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,39.8 +/- 13.1uM,103.8
"PC(20:4(8Z,11Z,14Z,17Z)/P-18:1(11Z))",HMDB0008490,CCCCCC\C=C/CCCCCCCC\C=C/OC(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,48.5 +/- 15.2uM,39.8
"PC(20:4(8Z,11Z,14Z,17Z)/P-18:1(9Z))",HMDB0008491,CCCCCCCC\C=C/CCCCCC\C=C/OC(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,39.8 +/- 13.1uM,48.5
"PC(20:4(8Z,11Z,14Z,17Z)/P-18:1(9Z))",HMDB0008491,CCCCCCCC\C=C/CCCCCC\C=C/OC(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,48.5 +/- 15.2uM,39.8
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/16:0)",HMDB0008495,CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,13.5 +/- 6.1uM,48.5
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/16:0)",HMDB0008495,CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,17.9 +/- 7.9uM,13.5
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/16:1(9Z))",HMDB0008496,CCCCCC\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,0.574 +/- 0.243uM,17.9
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/16:1(9Z))",HMDB0008496,CCCCCC\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,0.725 +/- 0.281uM,0.574
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/18:0)",HMDB0008497,CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,39.8 +/- 13.1uM,0.725
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/18:0)",HMDB0008497,CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,48.5 +/- 15.2uM,39.8
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/18:1(11Z))",HMDB0008498,CCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,51.9 +/- 20.0uM,48.5
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/18:1(11Z))",HMDB0008498,CCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,60.5 +/- 21.7uM,51.9
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/18:1(9Z))",HMDB0008499,CCCCCCCC\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,51.9 +/- 20.0uM,60.5
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/18:1(9Z))",HMDB0008499,CCCCCCCC\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,60.5 +/- 21.7uM,51.9
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/20:0)",HMDB0008504,CCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,8.83 +/- 3.47uM,60.5
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/20:0)",HMDB0008504,CCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,11.27 +/- 4.24uM,8.83
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/20:1(11Z))",HMDB0008505,CCCCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,19.0 +/- 7.8uM,11.27
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/20:1(11Z))",HMDB0008505,CCCCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,24.5 +/- 10.0uM,19
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/22:0)",HMDB0008512,CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,0.324 +/- 0.111uM,24.5
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/22:0)",HMDB0008512,CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,0.383 +/- 0.146uM,0.324
