mid,nc.unadj,nc
HMDB0007865,0.223 +/- 0.047,0.22300 
HMDB0007867,0.80-5.80,5.80000 
HMDB0007869,2.26 (0.33-4.11),2.26000 
HMDB0007871,13.87 (0.11-42.20),13.87000 
HMDB0007872,10.42 (0.14-25.10),10.42000 
HMDB0007873,16.6 +/- 7.90,16.60000 
HMDB0007874,4.02 +/- 1.47,4.02000 
HMDB0007875,0.49 +/- 0.12,0.49000 
HMDB0007876,0.49 +/- 0.12,0.49000 
HMDB0007879,242.2 +/- 51.3,242.20000 
HMDB0007880,240.0-670.0,670.00000 
HMDB0007881,9.00-41.0,41.00000 
HMDB0007882,15.9 +/- 4.61,15.90000 
HMDB0007883,0.75-4.50,4.50000 
HMDB0007884,1.87 +/- 0.66,1.87000 
HMDB0007886,1.00-11.0,11.00000 
HMDB0007887,20.00-100.0,100.00000 
HMDB0007888,250.7 +/- 47.2,250.70000 
HMDB0007889,90.00-320.0,320.00000 
HMDB0007890,10.0-95.0,95.00000 
HMDB0007891,8.39 (6.57-11.5),8.39000 
HMDB0007892,1.16 +/- 0.47,1.16000 
HMDB0007893,2.21 (1.85-2.71),2.21000 
HMDB0007894,1.23 +/- 0.46,1.23000 
HMDB0007895,2.99 (2.39-3.84),2.99000 
HMDB0007896,13.6 (11.8-15.7),13.60000 
HMDB0007897,16.6 +/- 7.90,16.60000 
HMDB0007898,16.6 +/- 7.90,16.60000 
HMDB0007899,2.16 (1.79-2.64),2.16000 
HMDB0007903,0.0000-0.0060,0.00600 
HMDB0007904,16.6 +/- 7.90,16.60000 
HMDB0007905,2.34 (1.65-3.14),2.34000 
HMDB0007906,2.34 (1.65-3.14),2.34000 
HMDB0007907,0.38 (0.31-0.45),0.38000 
HMDB0007911,173 (145-199),173.00000 
HMDB0007912,315 (269-369),315.00000 
HMDB0007913,11 (8.46-13.9),11.00000 
HMDB0007914,0.82 (0.63-1.14),0.82000 
HMDB0007915,0.82 (0.63-1.14),0.82000 
HMDB0007919,40.80 (33.8-47.9),40.80000 
HMDB0007920,212 (183-244),212.00000 
HMDB0007921,106 (89.5-120),106.00000 
HMDB0007922,8.39 (6.57-11.5),8.39000 
HMDB0007923,1.16 +/- 0.47,1.16000 
HMDB0007924,1.16 +/- 0.47,1.16000 
HMDB0007926,1.23 +/- 0.46,1.23000 
HMDB0007929,16.6 +/- 7.90,16.60000 
HMDB0007930,4.02 +/- 1.47,4.02000 
HMDB0007931,4.02 +/- 1.47,4.02000 
HMDB0007934,2.99 (2.39-3.84),2.99000 
HMDB0007965,2.99 (2.39-3.84),2.99000 
HMDB0007969,16.6 +/- 7.90,16.60000 
HMDB0007971,173 (145-199),173.00000 
HMDB0007972,173 (145-199),173.00000 
HMDB0007973,315 (269-369),315.00000 
HMDB0007974,11 (8.46-13.9),11.00000 
HMDB0007975,11 (8.46-13.9),11.00000 
HMDB0007976,0.82 (0.63-1.14),0.82000 
HMDB0007977,1.38 (1.03-1.84),1.38000 
HMDB0007978,40.80 (33.8-47.9),40.80000 
HMDB0007979,212 (183-244),212.00000 
HMDB0007980,106 (89.5-120),106.00000 
HMDB0007981,106 (89.5-120),106.00000 
HMDB0007982,130 (111-150),130.00000 
HMDB0007983,130 (111-150),130.00000 
HMDB0007984,8.39 (6.57-11.5),8.39000 
HMDB0007985,3.48 +/- 0.95,3.48000 
HMDB0007986,1.23 +/- 0.46,1.23000 
HMDB0007988,76.6 (65.9-90.8),76.60000 
HMDB0007989,36.2 (28.8-42.9),36.20000 
HMDB0007990,36.2 (28.8-42.9),36.20000 
HMDB0007991,60.6 (50.1-72.9 ),60.60000 
HMDB0007993,0.35 (0.3-0.42),0.35000 
HMDB0007994,15.3 (12.7-18.3),15.30000 
HMDB0007996,105 (91.8-119),105.00000 
HMDB0007997,105 (91.8-119),105.00000 
HMDB0007999,0.01 +/- 0.01,0.01000 
HMDB0008001,12.1 (9.51-15.8),12.10000 
HMDB0008002,0.66 (0.48-0.92),0.66000 
HMDB0008003,105 (91.8-119),105.00000 
HMDB0008004,84.2 (71.2-101),84.20000 
HMDB0008005,84.2 (71.2-101),84.20000 
HMDB0008006,2.8 (2.33-3.53),2.80000 
HMDB0008007,0.52 (0.43-0.62),0.52000 
HMDB0008008,0.52 (0.43-0.62),0.52000 
HMDB0008010,19.8 (16.9-22.8),19.80000 
HMDB0008011,44.5 (37.6-53.3),44.50000 
HMDB0008012,63.7 (53.6-73.5),63.70000 
HMDB0008013,135 (118-151),135.00000 
HMDB0008014,135 (118-151),135.00000 
HMDB0008015,5.2 (4.18-6.71),5.20000 
HMDB0008016,5.2 (4.18-6.71),5.20000 
HMDB0008017,1.16 +/- 0.47,1.16000 
HMDB0008018,1.23 +/- 0.46,1.23000 
HMDB0008020,36.1 (31-41.9),36.10000 
HMDB0008021,21.8 (18.8-25.2),21.80000 
HMDB0008022,60.6 (50.1-72.9 ),60.60000 
HMDB0008024,60.6 (50.1-72.9 ),60.60000 
HMDB0008025,0.35 (0.3-0.42),0.35000 
HMDB0008026,0.25 (0.2-0.37),0.25000 
HMDB0008027,16.6 +/- 7.90,16.60000 
HMDB0008028,105 (91.8-119),105.00000 
HMDB0008029,84.2 (71.2-101),84.20000 
HMDB0008030,84.2 (71.2-101),84.20000 
HMDB0008031,15.3 (12.7-18.3),15.30000 
HMDB0008032,16.6 +/- 7.90,16.60000 
HMDB0008035,105 (91.8-119),105.00000 
HMDB0008036,1.55 (1.27-1.89),1.55000 
HMDB0008037,19.8 (16.9-22.8),19.80000 
HMDB0008038,19.8 (16.9-22.8),19.80000 
HMDB0008039,44.5 (37.6-53.3),44.50000 
HMDB0008040,63.7 (53.6-73.5),63.70000 
HMDB0008041,63.7 (53.6-73.5),63.70000 
HMDB0008042,135 (118-151),135.00000 
HMDB0008043,3.48 +/- 0.95,3.48000 
HMDB0008044,1.23 +/- 0.46,1.23000 
HMDB0008046,36.1 (31-41.9),36.10000 
HMDB0008047,36.1 (31-41.9),36.10000 
HMDB0008048,90.4 (78.8-104),90.40000 
HMDB0008049,90.4 (78.8-104),90.40000 
HMDB0008050,21.8 (18.8-25.2),21.80000 
HMDB0008052,0.35 (0.3-0.42),0.35000 
HMDB0008053,0.25 (0.2-0.37),0.25000 
HMDB0008054,2.59 (2.16-3.19),2.59000 
HMDB0008055,4.00-22.0,22.00000 
HMDB0008056,13.85(4.15),13.85000 
HMDB0008057,22.6 (17.7-28.7),22.60000 
HMDB0008058,0.65 +/- 0.18,0.65000 
HMDB0008059,0.32 +/- 0.08,0.32000 
HMDB0008061,1.55 (1.27-1.89),1.55000 
HMDB0008062,19.8 (16.9-22.8),19.80000 
HMDB0008063,19.8 (16.9-22.8),19.80000 
HMDB0008064,16.6 +/- 7.90,16.60000 
HMDB0008065,4.02 +/- 1.47,4.02000 
HMDB0008067,242.2 +/- 51.3,242.20000 
HMDB0008068,84.2 (71.2-101),84.20000 
HMDB0008069,19.8 (16.9-22.8),19.80000 
HMDB0008070,44.5 (37.6-53.3),44.50000 
HMDB0008071,44.5 (37.6-53.3),44.50000 
HMDB0008072,63.7 (53.6-73.5),63.70000 
HMDB0008073,135 (118-151),135.00000 
HMDB0008074,135 (118-151),135.00000 
HMDB0008075,5.2 (4.18-6.71),5.20000 
HMDB0008076,1.23 +/- 0.46,1.23000 
HMDB0008078,47.3 +/- 11.3,47.30000 
HMDB0008079,90.4 (78.8-104),90.40000 
HMDB0008080,90.4 (78.8-104),90.40000 
HMDB0008081,21.8 (18.8-25.2),21.80000 
HMDB0008082,21.8 (18.8-25.2),21.80000 
HMDB0008083,60.6 (50.1-72.9 ),60.60000 
HMDB0008084,0.45 (0.30-1.42),0.45000 
HMDB0008085,0.36 (0.05-1.88),0.36000 
HMDB0008086,0.47 (0.01-1.41),0.47000 
HMDB0008087,13.85(4.15),13.85000 
HMDB0008088,27.8 +/- 8.8,27.80000 
HMDB0008089,27.8 +/- 8.8,27.80000 
HMDB0008091,0.32 +/- 0.08,0.32000 
HMDB0008092,0.25 +/- 0.07,0.25000 
HMDB0008093,242.2 +/- 51.3,242.20000 
HMDB0008094,19.8 (16.9-22.8),19.80000 
HMDB0008095,44.5 (37.6-53.3),44.50000 
HMDB0008096,44.5 (37.6-53.3),44.50000 
HMDB0008097,16.6 +/- 7.90,16.60000 
HMDB0008098,4.02 +/- 1.47,4.02000 
HMDB0008100,242.2 +/- 51.3,242.20000 
HMDB0008101,413.3 +/- 69.2,413.30000 
HMDB0008102,19.8 (16.9-22.8),19.80000 
HMDB0008103,267.03(66.1),267.03000 
HMDB0008105,165.5(44.39),165.50000 
HMDB0008106,228.74(50.69),228.74000 
HMDB0008107,228.74(50.69),228.74000 
HMDB0008108,46.61(21.41),46.61000 
HMDB0008109,1.23 +/- 0.46,1.23000 
HMDB0008111,62.34(20.77),62.34000 
HMDB0008112,147.79(39.15),147.79000 
HMDB0008113,147.79(39.15),147.79000 
HMDB0008114,81.9(19.68),81.90000 
HMDB0008115,81.9(19.68),81.90000 
HMDB0008116,103.41(31.68),103.41000 
HMDB0008117,0.44(0.12),0.44000 
HMDB0008118,0.36 (0.05-1.88),0.36000 
HMDB0008119,0.47 (0.01-1.41),0.47000 
HMDB0008120,13.85(4.15),13.85000 
HMDB0008121,27.8 +/- 8.8,27.80000 
HMDB0008122,27.8 +/- 8.8,27.80000 
HMDB0008124,0.32 +/- 0.08,0.32000 
HMDB0008125,0.25 +/- 0.07,0.25000 
HMDB0008126,242.2 +/- 51.3,242.20000 
HMDB0008127,60.62(19.39),60.62000 
HMDB0008128,267.03(66.1),267.03000 
HMDB0008129,267.03(66.1),267.03000 
HMDB0008130,4.02 +/- 1.47,4.02000 
HMDB0008131,0.49 +/- 0.12,0.49000 
HMDB0008133,409.32(87.37),409.32000 
HMDB0008134,25.87(9.06),25.87000 
HMDB0008135,267.03(66.1),267.03000 
HMDB0008136,165.5(44.39),165.50000 
HMDB0008137,165.5(44.39),165.50000 
HMDB0008138,228.74(50.69),228.74000 
HMDB0008139,81.9(19.68),81.90000 
HMDB0008140,46.61(21.41),46.61000 
HMDB0008141,46.61(21.41),46.61000 
HMDB0008142,1.16 +/- 0.47,1.16000 
HMDB0008144,47.3 +/- 11.3,47.30000 
HMDB0008145,147.79(39.15),147.79000 
HMDB0008146,81.9(19.68),81.90000 
HMDB0008147,103.41(31.68),103.41000 
HMDB0008148,103.41(31.68),103.41000 
HMDB0008150,0.36 (0.05-1.88),0.36000 
HMDB0008151,0.47 (0.01-1.41),0.47000 
HMDB0008152,4.16(1.34),4.16000 
HMDB0008153,27.8 +/- 8.8,27.80000 
HMDB0008157,0.25 +/- 0.07,0.25000 
HMDB0008159,413.3 +/- 69.2,413.30000 
HMDB0008160,267.03(66.1),267.03000 
HMDB0008161,165.5(44.39),165.50000 
HMDB0008162,165.5(44.39),165.50000 
HMDB0008163,0.49 +/- 0.12,0.49000 
HMDB0008166,15.9 +/- 4.61,15.90000 
HMDB0008167,1.87 +/- 0.66,1.87000 
HMDB0008168,165.5(44.39),165.50000 
HMDB0008169,228.74(50.69),228.74000 
HMDB0008170,228.74(50.69),228.74000 
HMDB0008171,46.61(21.41),46.61000 
HMDB0008172,1.16 +/- 0.47,1.16000 
HMDB0008173,1.16 +/- 0.47,1.16000 
HMDB0008175,47.3 +/- 11.3,47.30000 
HMDB0008176,101.6 +/- 22.6,101.60000 
HMDB0008177,54.2 +/- 13.2,54.20000 
HMDB0008178,103.41(31.68),103.41000 
HMDB0008179,103.41(31.68),103.41000 
HMDB0008183,0.47 (0.01-1.41),0.47000 
HMDB0008184,4.16(1.34),4.16000 
HMDB0008185,13.85(4.15),13.85000 
HMDB0008191,0.18 +/- 0.04,0.18000 
HMDB0008192,15.9 +/- 4.61,15.90000 
HMDB0008193,165.5(44.39),165.50000 
HMDB0008194,228.74(50.69),228.74000 
HMDB0008195,228.74(50.69),228.74000 
HMDB0008196,0.49 +/- 0.12,0.49000 
HMDB0008199,15.9 +/- 4.61,15.90000 
HMDB0008200,1.87 +/- 0.66,1.87000 
HMDB0008201,165.5(44.39),165.50000 
HMDB0008202,228.74(50.69),228.74000 
HMDB0008203,228.74(50.69),228.74000 
HMDB0008204,46.61(21.41),46.61000 
HMDB0008205,1.16 +/- 0.47,1.16000 
HMDB0008206,1.16 +/- 0.47,1.16000 
HMDB0008208,47.3 +/- 11.3,47.30000 
HMDB0008209,101.6 +/- 22.6,101.60000 
HMDB0008210,54.2 +/- 13.2,54.20000 
HMDB0008211,88.0 +/- 25.0,88.00000 
HMDB0008212,88.0 +/- 25.0,88.00000 
HMDB0008216,0.47 (0.01-1.41),0.47000 
HMDB0008217,2.59 (2.16-3.19),2.59000 
HMDB0008218,13.85(4.15),13.85000 
HMDB0008224,0.18 +/- 0.04,0.18000 
HMDB0008225,15.9 +/- 4.61,15.90000 
HMDB0008226,63.7 (53.6-73.5),63.70000 
HMDB0008227,135 (118-151),135.00000 
HMDB0008228,135 (118-151),135.00000 
HMDB0008232,1.87 +/- 0.66,1.87000 
HMDB0008234,135 (118-151),135.00000 
HMDB0008235,5.2 (4.18-6.71),5.20000 
HMDB0008236,5.2 (4.18-6.71),5.20000 
HMDB0008237,1.16 +/- 0.47,1.16000 
HMDB0008241,101.6 +/- 22.6,101.60000 
HMDB0008242,54.2 +/- 13.2,54.20000 
HMDB0008243,88.0 +/- 25.0,88.00000 
HMDB0008249,2.59 (2.16-3.19),2.59000 
HMDB0008250,13.85(4.15),13.85000 
HMDB0008251,27.8 +/- 8.8,27.80000 
HMDB0008256,0.18 +/- 0.04,0.18000 
HMDB0008257,0.10-1.10,1.10000 
HMDB0008258,1.87 +/- 0.66,1.87000 
HMDB0008259,135 (118-151),135.00000 
HMDB0008260,5.2 (4.18-6.71),5.20000 
HMDB0008261,5.2 (4.18-6.71),5.20000 
HMDB0008263,242.2 +/- 51.3,242.20000 
HMDB0008265,2.52 +/- 0.89,2.52000 
HMDB0008266,57.1 +/- 13.5,57.10000 
HMDB0008267,3.48 +/- 0.95,3.48000 
HMDB0008268,1.23 +/- 0.46,1.23000 
HMDB0008269,1.23 +/- 0.46,1.23000 
HMDB0008271,47.3 +/- 11.3,47.30000 
HMDB0008272,47.3 +/- 11.3,47.30000 
HMDB0008273,101.6 +/- 22.6,101.60000 
HMDB0008275,0.45 (0.30-1.42),0.45000 
HMDB0008276,0.36 (0.05-1.88),0.36000 
HMDB0008277,0.47 (0.01-1.41),0.47000 
HMDB0008278,0.47 (0.01-1.41),0.47000 
HMDB0008279,2.59 (2.16-3.19),2.59000 
HMDB0008280,3 (2.41-3.61),3.00000 
HMDB0008281,13.85(4.15),13.85000 
HMDB0008282,0.55 (0.47-0.65),0.55000 
HMDB0008283,0.27 (0.22-0.33),0.27000 
HMDB0008284,0.2 (0.17-0.24),0.20000 
HMDB0008285,0.2 (0.17-0.23),0.20000 
HMDB0008286,0.45(0.13),0.45000 
HMDB0008287,0.45(0.13),0.45000 
HMDB0008288,0.79(0.16),0.79000 
HMDB0008291,3.14(1.2),3.14000 
HMDB0008292,2.21 (1.85-2.71),2.21000 
HMDB0008293,1.23 +/- 0.46,1.23000 
HMDB0008294,1.23 +/- 0.46,1.23000 
HMDB0008295,173 (145-199),173.00000 
HMDB0008296,409.32(87.37),409.32000 
HMDB0008298,40.80 (33.8-47.9),40.80000 
HMDB0008299,212 (183-244),212.00000 
HMDB0008300,1.23 +/- 0.46,1.23000 
HMDB0008303,32.8 (26.5-38.5),32.80000 
HMDB0008304,76.6 (65.9-90.8),76.60000 
HMDB0008305,76.6 (65.9-90.8),76.60000 
HMDB0008306,36.2 (28.8-42.9),36.20000 
HMDB0008307,0.39 (0.33-0.45),0.39000 
HMDB0008308,0.29 (0.25-0.35),0.29000 
HMDB0008309,0.49 (0.43-0.58),0.49000 
HMDB0008310,3 (2.41-3.61),3.00000 
HMDB0008311,3 (2.41-3.61),3.00000 
HMDB0008312,13.85(4.15),13.85000 
HMDB0008313,13.85(4.15),13.85000 
HMDB0008314,27.8 +/- 8.8,27.80000 
HMDB0008315,0.27 (0.22-0.33),0.27000 
HMDB0008316,0.2 (0.17-0.24),0.20000 
HMDB0008318,0.39 (0.32-0.47),0.39000 
HMDB0008319,0.61 (0.51-0.71),0.61000 
HMDB0008320,0.61 (0.51-0.71),0.61000 
HMDB0008324,40.80 (33.8-47.9),40.80000 
HMDB0008325,1.23 +/- 0.46,1.23000 
HMDB0008328,315 (269-369),315.00000 
HMDB0008329,11 (8.46-13.9),11.00000 
HMDB0008331,212 (183-244),212.00000 
HMDB0008332,106 (89.5-120),106.00000 
HMDB0008334,32.8 (26.5-38.5),32.80000 
HMDB0008335,32.8 (26.5-38.5),32.80000 
HMDB0008336,76.6 (65.9-90.8),76.60000 
HMDB0008337,36.2 (28.8-42.9),36.20000 
HMDB0008338,36.2 (28.8-42.9),36.20000 
HMDB0008339,49.1 (37.8-60.8),49.10000 
HMDB0008340,0.29 (0.25-0.35),0.29000 
HMDB0008341,0.49 (0.43-0.58),0.49000 
HMDB0008342,3 (2.41-3.61),3.00000 
HMDB0008343,13.85(4.15),13.85000 
HMDB0008344,13.85(4.15),13.85000 
HMDB0008345,27.8 +/- 8.8,27.80000 
HMDB0008346,27.8 +/- 8.8,27.80000 
HMDB0008348,0.2 (0.17-0.24),0.20000 
HMDB0008350,0.2 (0.17-0.23),0.20000 
HMDB0008351,0.61 (0.51-0.71),0.61000 
HMDB0008357,44.5 (37.6-53.3),44.50000 
HMDB0008359,36.1 (31-41.9),36.10000 
HMDB0008360,36.1 (31-41.9),36.10000 
HMDB0008361,2.8 (2.33-3.53),2.80000 
HMDB0008362,0.52 (0.43-0.62),0.52000 
HMDB0008364,63.7 (53.6-73.5),63.70000 
HMDB0008365,135 (118-151),135.00000 
HMDB0008366,36.1 (31-41.9),36.10000 
HMDB0008367,90.4 (78.8-104),90.40000 
HMDB0008368,90.4 (78.8-104),90.40000 
HMDB0008369,21.8 (18.8-25.2),21.80000 
HMDB0008370,60.6 (50.1-72.9 ),60.60000 
HMDB0008371,60.6 (50.1-72.9 ),60.60000 
HMDB0008373,0.54 (0.46-0.64),0.54000 
HMDB0008374,2.59 (2.16-3.19),2.59000 
HMDB0008375,13.85(4.15),13.85000 
HMDB0008376,27.8 +/- 8.8,27.80000 
HMDB0008377,27.8 +/- 8.8,27.80000 
HMDB0008382,0.24 (0.2-0.32),0.24000 
HMDB0008383,0.30 (0.25-0.36),0.30000 
HMDB0008390,63.7 (53.6-73.5),63.70000 
HMDB0008391,36.1 (31-41.9),36.10000 
HMDB0008392,90.4 (78.8-104),90.40000 
HMDB0008393,90.4 (78.8-104),90.40000 
HMDB0008394,2.8 (2.33-3.53),2.80000 
HMDB0008395,0.52 (0.43-0.62),0.52000 
HMDB0008397,63.7 (53.6-73.5),63.70000 
HMDB0008398,135 (118-151),135.00000 
HMDB0008399,36.1 (31-41.9),36.10000 
HMDB0008400,90.4 (78.8-104),90.40000 
HMDB0008401,90.4 (78.8-104),90.40000 
HMDB0008402,21.8 (18.8-25.2),21.80000 
HMDB0008403,60.6 (50.1-72.9 ),60.60000 
HMDB0008404,60.6 (50.1-72.9 ),60.60000 
HMDB0008406,0.54 (0.46-0.64),0.54000 
HMDB0008407,13.85(4.15),13.85000 
HMDB0008408,27.8 +/- 8.8,27.80000 
HMDB0008409,27.8 +/- 8.8,27.80000 
HMDB0008414,0.24 (0.2-0.32),0.24000 
HMDB0008415,0.30 (0.25-0.36),0.30000 
HMDB0008422,63.7 (53.6-73.5),63.70000 
HMDB0008423,36.1 (31-41.9),36.10000 
HMDB0008424,90.4 (78.8-104),90.40000 
HMDB0008425,90.4 (78.8-104),90.40000 
HMDB0008426,0.52 (0.43-0.62),0.52000 
HMDB0008429,135 (118-151),135.00000 
HMDB0008430,5.2 (4.18-6.71),5.20000 
HMDB0008431,90.4 (78.8-104),90.40000 
HMDB0008432,21.8 (18.8-25.2),21.80000 
HMDB0008433,21.8 (18.8-25.2),21.80000 
HMDB0008434,60.6 (50.1-72.9 ),60.60000 
HMDB0008438,2.59 (2.16-3.19),2.59000 
HMDB0008439,13.85(4.15),13.85000 
HMDB0008440,27.8 +/- 8.8,27.80000 
HMDB0008446,0.24 (0.2-0.32),0.24000 
HMDB0008447,0.30 (0.25-0.36),0.30000 
HMDB0008448,0.44 (0.39-0.5),0.44000 
HMDB0008455,135 (118-151),135.00000 
HMDB0008456,90.4 (78.8-104),90.40000 
HMDB0008457,21.8 (18.8-25.2),21.80000 
HMDB0008458,21.8 (18.8-25.2),21.80000 
HMDB0008459,0.52 (0.43-0.62),0.52000 
HMDB0008462,135 (118-151),135.00000 
HMDB0008463,5.2 (4.18-6.71),5.20000 
HMDB0008464,90.4 (78.8-104),90.40000 
HMDB0008465,21.8 (18.8-25.2),21.80000 
HMDB0008466,21.8 (18.8-25.2),21.80000 
HMDB0008467,60.6 (50.1-72.9 ),60.60000 
HMDB0008471,2.59 (2.16-3.19),2.59000 
HMDB0008472,13.85(4.15),13.85000 
HMDB0008473,27.8 +/- 8.8,27.80000 
HMDB0008479,0.24 (0.2-0.32),0.24000 
HMDB0008480,0.30 (0.25-0.36),0.30000 
HMDB0008481,0.44 (0.39-0.5),0.44000 
HMDB0008488,135 (118-151),135.00000 
HMDB0008489,90.4 (78.8-104),90.40000 
HMDB0008490,21.8 (18.8-25.2),21.80000 
HMDB0008491,21.8 (18.8-25.2),21.80000 
HMDB0008495,5.2 (4.18-6.71),5.20000 
HMDB0008496,1.16 +/- 0.47,1.16000 
HMDB0008497,81.9(19.68),81.90000 
HMDB0008498,103.41(31.68),103.41000 
HMDB0008499,103.41(31.68),103.41000 
HMDB0008504,13.85(4.15),13.85000 
HMDB0008505,36.08(11.41),36.08000 
HMDB0008512,0.45(0.13),0.45000 
HMDB0008513,0.79(0.16),0.79000 
HMDB0008521,46.61(21.41),46.61000 
HMDB0008522,81.9(19.68),81.90000 
HMDB0008523,103.41(31.68),103.41000 
HMDB0008524,103.41(31.68),103.41000 
HMDB0008525,3.14(1.2),3.14000 
HMDB0008526,60.62(19.39),60.62000 
HMDB0008528,3.48 +/- 0.95,3.48000 
HMDB0008529,1.23 +/- 0.46,1.23000 
HMDB0008531,0.44(0.12),0.44000 
HMDB0008532,0.44(0.12),0.44000 
HMDB0008533,0.25 (0.2-0.37),0.25000 
HMDB0008534,0.54 (0.46-0.64),0.54000 
HMDB0008535,0.54 (0.46-0.64),0.54000 
HMDB0008536,4.16(1.34),4.16000 
HMDB0008537,0.65 +/- 0.18,0.65000 
HMDB0008538,0.32 +/- 0.08,0.32000 
HMDB0008539,0.25 +/- 0.07,0.25000 
HMDB0008542,0.18 +/- 0.04,0.18000 
HMDB0008543,0.18 +/- 0.04,0.18000 
HMDB0008544,0.45(0.13),0.45000 
HMDB0008554,3.48 +/- 0.95,3.48000 
HMDB0008556,0.44(0.12),0.44000 
HMDB0008557,0.44(0.12),0.44000 
HMDB0008558,60.62(19.39),60.62000 
HMDB0008559,267.03(66.1),267.03000 
HMDB0008561,1.23 +/- 0.46,1.23000 
HMDB0008563,0.44(0.12),0.44000 
HMDB0008564,0.36 (0.05-1.88),0.36000 
HMDB0008565,0.47 (0.01-1.41),0.47000 
HMDB0008566,4.16(1.34),4.16000 
HMDB0008567,4.16(1.34),4.16000 
HMDB0008568,13.85(4.15),13.85000 
HMDB0008569,0.32 +/- 0.08,0.32000 
HMDB0008570,0.25 +/- 0.07,0.25000 
HMDB0008572,0.18 +/- 0.04,0.18000 
HMDB0008573,0.18 +/- 0.04,0.18000 
HMDB0008574,0.45(0.13),0.45000 
HMDB0008575,0.45(0.13),0.45000 
HMDB0008576,0.79(0.16),0.79000 
HMDB0008586,1.23 +/- 0.46,1.23000 
HMDB0008587,0.44(0.12),0.44000 
HMDB0008588,0.36 (0.05-1.88),0.36000 
HMDB0008589,0.36 (0.05-1.88),0.36000 
HMDB0008590,267.03(66.1),267.03000 
HMDB0008591,165.5(44.39),165.50000 
HMDB0008594,47.3 +/- 11.3,47.30000 
HMDB0008595,0.36 (0.05-1.88),0.36000 
HMDB0008596,0.47 (0.01-1.41),0.47000 
HMDB0008597,0.47 (0.01-1.41),0.47000 
HMDB0008598,4.16(1.34),4.16000 
HMDB0008599,13.85(4.15),13.85000 
HMDB0008600,13.85(4.15),13.85000 
HMDB0008601,27.8 +/- 8.8,27.80000 
HMDB0008602,0.25 +/- 0.07,0.25000 
HMDB0008604,0.18 +/- 0.04,0.18000 
HMDB0008605,0.45(0.13),0.45000 
HMDB0008606,0.45(0.13),0.45000 
HMDB0008607,0.79(0.16),0.79000 
HMDB0008608,0.79(0.16),0.79000 
HMDB0008620,0.36 (0.05-1.88),0.36000 
HMDB0008621,0.47 (0.01-1.41),0.47000 
HMDB0008622,0.47 (0.01-1.41),0.47000 
HMDB0008623,228.74(50.69),228.74000 
HMDB0008624,46.61(21.41),46.61000 
HMDB0008626,147.79(39.15),147.79000 
HMDB0008627,81.9(19.68),81.90000 
HMDB0008628,4.16(1.34),4.16000 
HMDB0008629,13.85(4.15),13.85000 
HMDB0008630,13.85(4.15),13.85000 
HMDB0008631,27.8 +/- 8.8,27.80000 
HMDB0008635,0.18 +/- 0.04,0.18000 
HMDB0008636,0.32 +/- 0.11,0.32000 
HMDB0008637,0.79(0.16),0.79000 
HMDB0008652,101.6 +/- 22.6,101.60000 
HMDB0008653,4.16(1.34),4.16000 
HMDB0008654,13.85(4.15),13.85000 
HMDB0008655,13.85(4.15),13.85000 
HMDB0008656,46.61(21.41),46.61000 
HMDB0008657,1.16 +/- 0.47,1.16000 
HMDB0008659,81.9(19.68),81.90000 
HMDB0008660,103.41(31.68),103.41000 
HMDB0008661,13.85(4.15),13.85000 
HMDB0008662,27.8 +/- 8.8,27.80000 
HMDB0008663,27.8 +/- 8.8,27.80000 
HMDB0008668,0.32 +/- 0.11,0.32000 
HMDB0008669,0.78 (0.52-1.96),0.78000 
HMDB0008685,54.2 +/- 13.2,54.20000 
HMDB0008686,13.85(4.15),13.85000 
HMDB0008687,27.8 +/- 8.8,27.80000 
HMDB0008688,27.8 +/- 8.8,27.80000 
HMDB0008689,46.61(21.41),46.61000 
HMDB0008690,1.16 +/- 0.47,1.16000 
HMDB0008692,54.2 +/- 13.2,54.20000 
HMDB0008693,103.41(31.68),103.41000 
HMDB0008694,13.85(4.15),13.85000 
HMDB0008695,27.8 +/- 8.8,27.80000 
HMDB0008696,27.8 +/- 8.8,27.80000 
HMDB0008701,0.32 +/- 0.11,0.32000 
HMDB0008702,0.78 (0.52-1.96),0.78000 
HMDB0008718,54.2 +/- 13.2,54.20000 
HMDB0008719,13.85(4.15),13.85000 
HMDB0008720,27.8 +/- 8.8,27.80000 
HMDB0008721,27.8 +/- 8.8,27.80000 
HMDB0008722,1.16 +/- 0.47,1.16000 
HMDB0008725,88.0 +/- 25.0,88.00000 
HMDB0008727,27.8 +/- 8.8,27.80000 
HMDB0008734,0.78 (0.52-1.96),0.78000 
HMDB0008751,88.0 +/- 25.0,88.00000 
HMDB0008752,27.8 +/- 8.8,27.80000 
HMDB0008755,3.48 +/- 0.95,3.48000 
HMDB0008756,1.23 +/- 0.46,1.23000 
HMDB0008759,0.45 (0.30-1.42),0.45000 
HMDB0008760,0.65 +/- 0.18,0.65000 
HMDB0008761,0.32 +/- 0.08,0.32000 
HMDB0008762,0.32 +/- 0.08,0.32000 
HMDB0008763,0.25 +/- 0.07,0.25000 
HMDB0008766,0.18 +/- 0.04,0.18000 
HMDB0008785,0.65 +/- 0.18,0.65000 
HMDB0008786,0.32 +/- 0.08,0.32000 
HMDB0008787,0.32 +/- 0.08,0.32000 
HMDB0008788,1.23 +/- 0.46,1.23000 
HMDB0008791,0.45 (0.30-1.42),0.45000 
