mid,nc.unadj,nc
HMDB0000820,0.33 (0.00-0.80),0.33000 
HMDB0000821,19.55 +/- 7.98,19.55000 
HMDB0000822,1.844 (0.511-6.0959),1.84400 
HMDB0000824,0.31 +/- 0.15,0.31000 
HMDB0000825,144 +/- 43.7,144.00000 
HMDB0000826,1.34 +/- 0.91,1.34000 
HMDB0000827,85 (31-470),85.00000 
HMDB0000830,0.57 +/- 1.26,0.57000 
HMDB0000832,<0.0015–0.0347,0.01810 
HMDB0000840,1.000 +/- 0.015,1.00000 
HMDB0000845,0.0060 +/- 0.0016,0.00600 
HMDB0000848,0.04 +/- 0.01,0.04000 
HMDB0000851,0.033 (0.0045-0.062),0.03300 
HMDB0000852,22.8 +/- 6.7,22.80000 
HMDB0000854,13.400-21.800,17.60000 
HMDB0000857,0.21 (0.11-0.31),0.21000 
HMDB0000858,2.3 (0.6-4.4),2.30000 
HMDB0000860,<0.0010–0.0656,0.03330 
HMDB0000863,83.3 +/- 132.8,83.30000 
HMDB0000868,0.43,0.43000 
HMDB0000870,0.00067 (0.00031-0.00220),0.00067 
HMDB0000872,0.11(0.078-0.19),0.11000 
HMDB0000874,2.0 (0.1-4.0),2.00000 
HMDB0000876,0.0060 +/- 0.0042,0.00600 
HMDB0000878,0.009326 (0.003782-0.014870),0.00933 
HMDB0000879,0.0052 +/- 0.0010,0.00520 
HMDB0000881,0.022 +/- 0.001,0.02200 
HMDB0000883,212.3 +/- 61.3,212.30000 
HMDB0000884,0.200 +/- 0.098,0.20000 
HMDB0000885,405.46 +/- 56.51,405.46000 
HMDB0000888,0.44(0.28-0.54),0.44000 
HMDB0000892,0.6 (0.3-1.2),0.60000 
HMDB0000893,3.6 (0.0-10.0),3.60000 
HMDB0000895,0.034 +/- 0.009,0.03400 
HMDB0000896,> 0.01,0.01000 
HMDB0000897,0.129 +/- 0.024,0.12900 
HMDB0000898,0.00034 (0.00021-0.00047),0.00034 
HMDB0000899,0.00036 (0.00020-0.00070),0.00036 
HMDB0000900,0.003 (0.000-0.007),0.00300 
HMDB0000902,24.3 (23.0-25.6),24.30000 
HMDB0000903,0.40 +/- 0.44,0.40000 
HMDB0000904,10-60,35.00000 
HMDB0000906,0.42 +/- 0.12,0.42000 
HMDB0000907,1.6 +/- 0.1,1.60000 
HMDB0000908,9.26 +/- 5.40,9.26000 
HMDB0000912,0-34.6,17.30000 
HMDB0000913,0.83-1.2 ,1.01500 
HMDB0000918,704.47 +/- 129.59,704.47000 
