mid,mname,keggid,nc
HMDB0001045,,,0.0003
HMDB0001046,,,0.00028
HMDB0001049,gamma-Glutamylcysteine,C00669,3.05
HMDB0001051,Glyceraldehyde,C02154,1476
HMDB0001056,Dihydrofolic acid,C00415,0.005
HMDB0001058,"Fructose 1,6-bisphosphate",C05378,3.8
HMDB0001060,,,0.4
HMDB0001062,N-Acetyl-D-Glucosamine 6-Phosphate,C00357,0.173
HMDB0001065,2-Hydroxyphenethylamine,C02735,0.00033
HMDB0001067,N-Acetylaspartylglutamic acid,C12270,4.89
HMDB0001068,D-Sedoheptulose 7-phosphate,C05382,1.15
HMDB0001072,Coenzyme Q10,C11378,1.17
HMDB0001078,Mannose 6-phosphate,C00275,
HMDB0001081,(N-acetylneuraminosyl(a2-6)lactosamine),C04886,250.2962
HMDB0001085,Leukotriene B4,C02165,0.00004
HMDB0001096,Carbamoyl phosphate,C00169,12.4
HMDB0001104,N-Acetyl-b-glucosaminylamine,C01239,
HMDB0001112,Glyceraldehyde 3-phosphate,C00118,4.8
HMDB0001123,2-Aminobenzoic acid,C00108,0.001
HMDB0001127,6-Phosphonoglucono-D-lactone,C01236,0.00762
HMDB0001129,N-Acetylmannosamine,C00645,
HMDB0001138,N-Acetyl-L-glutamic acid,C00624,
HMDB0001139,Prostaglandin F2a,C00639,0.00005
HMDB0001140,Octanal,C01545,58522.863
HMDB0001149,5-Aminolevulinic acid,C00430,0.35
HMDB0001160,,,0.033
HMDB0001161,4-Trimethylammoniobutanoic acid,C01181,10
HMDB0001165,Keratan,C00573,0.14
HMDB0001167,Pyruvaldehyde,C00546,110
HMDB0001169,4-Aminophenol,C02372,10
HMDB0001170,Lathosterol,C01189,9.9
HMDB0001173,5'-Methylthioadenosine,C00170,
HMDB0001183,Octanol,C00756,5.119
HMDB0001185,S-Adenosylmethionine,C00019,0.116
HMDB0001186,N1-Acetylspermine,C02567,0.02
HMDB0001190,Indoleacetaldehyde,C00637,7.24
HMDB0001191,Deoxyuridine triphosphate,C00460,
HMDB0001198,Leukotriene C4,C02166,0.00005
HMDB0001201,Guanosine diphosphate,C00035,15
HMDB0001202,dCMP,C00239,
HMDB0001220,Prostaglandin E2,C00584,0.00004
HMDB0001227,5-Thymidylic acid,C00364,
HMDB0001238,N-Acetylserotonin,C00978,0.0054
HMDB0001244,,,0.00013
HMDB0001247,Aluminum,C06264,0.1
HMDB0001248,FAD,C00016,0.061
HMDB0001251,Lanosterol,C01724,0.48
HMDB0001256,Spermine,C00750,9.97
HMDB0001257,Spermidine,C00315,10.3
HMDB0001259,Succinic acid semialdehyde,C00232,28.5
HMDB0001263,Allysine,C04076,0.2
HMDB0001264,Dehydroascorbic acid,C05422,2.32
HMDB0001266,L-Sorbose,C08356,
HMDB0001270,"Glyceric acid 1,3-biphosphate",C00236,0.4
HMDB0001273,Guanosine triphosphate,C00044,56
HMDB0001276,N1-Acetylspermidine,C00612,0.007
